step, model-name, std, solution-best, runtime-bench (ms), overhead, total cost (ms)
0, resnet50, 0.570666, { breakpoint-1: 43}, {13.190667 14.332000 }, 0.247251, 27.5227
1, resnet50, 0.249667, { breakpoint-1: 46}, {13.385333 12.886000 }, 0.190544, 26.2713
2, resnet50, 0.134167, { breakpoint-1: 46}, {13.185333 12.917000 }, 0.182885, 26.1023
3, resnet50, 0.134167, { breakpoint-1: 46}, {13.185333 12.917000 }, 0.182885, 26.1023
4, resnet50, 0.134167, { breakpoint-1: 46}, {13.185333 12.917000 }, 0.182885, 26.1023
5, resnet50, 0.134167, { breakpoint-1: 46}, {13.185333 12.917000 }, 0.182885, 26.1023
6, resnet50, 0.621, { breakpoint-1: 40}, {12.113667 13.355667 }, 0.154199, 25.4693
7, resnet50, 0.621, { breakpoint-1: 40}, {12.113667 13.355667 }, 0.154199, 25.4693
8, resnet50, 0.621, { breakpoint-1: 40}, {12.113667 13.355667 }, 0.154199, 25.4693
9, resnet50, 0.621, { breakpoint-1: 40}, {12.113667 13.355667 }, 0.154199, 25.4693
10, resnet50, 0.621, { breakpoint-1: 40}, {12.113667 13.355667 }, 0.154199, 25.4693
11, resnet50, 0.621, { breakpoint-1: 40}, {12.113667 13.355667 }, 0.154199, 25.4693
