step, model-name, std, solution-best, runtime-bench (ms), overhead, total cost (ms)
0, resnet50, 3.0428, { breakpoint-1: 53; breakpoint-2: 86}, {14.295333 9.910667 6.883334 }, 0.539457, 31.0893
1, resnet50, 2.33271, { breakpoint-1: 33; breakpoint-2: 84}, {11.677333 12.228667 7.027667 }, 0.531749, 30.9337
2, resnet50, 2.33271, { breakpoint-1: 33; breakpoint-2: 84}, {11.677333 12.228667 7.027667 }, 0.531749, 30.9337
3, resnet50, 1.43657, { breakpoint-1: 33; breakpoint-2: 72}, {11.672667 11.085333 8.374333 }, 0.541586, 31.1323
4, resnet50, 2.37082, { breakpoint-1: 62; breakpoint-2: 46}, {13.249000 7.734000 8.916000 }, 0.480515, 29.899
5, resnet50, 1.33249, { breakpoint-1: 33; breakpoint-2: 68}, {11.087667 9.821667 7.849333 }, 0.424049, 28.7587
6, resnet50, 1.33249, { breakpoint-1: 33; breakpoint-2: 68}, {11.087667 9.821667 7.849333 }, 0.424049, 28.7587
7, resnet50, 1.33249, { breakpoint-1: 33; breakpoint-2: 68}, {11.087667 9.821667 7.849333 }, 0.424049, 28.7587
8, resnet50, 1.33249, { breakpoint-1: 33; breakpoint-2: 68}, {11.087667 9.821667 7.849333 }, 0.424049, 28.7587
9, resnet50, 1.33249, { breakpoint-1: 33; breakpoint-2: 68}, {11.087667 9.821667 7.849333 }, 0.424049, 28.7587
10, resnet50, 1.33249, { breakpoint-1: 33; breakpoint-2: 68}, {11.087667 9.821667 7.849333 }, 0.424049, 28.7587
