step, model-name, std, solution-best, runtime-bench (ms), overhead, total cost (ms)
0, vgg19, 0.0825005, { breakpoint-1: 16}, {30.651667 30.486666 }, 0.225553, 61.1383
1, vgg19, 0.111334, { breakpoint-1: 16}, {30.191666 30.414333 }, 0.214882, 60.606
2, vgg19, 0.111334, { breakpoint-1: 16}, {30.191666 30.414333 }, 0.214882, 60.606
3, vgg19, 0.409833, { breakpoint-1: 15}, {29.114334 29.934000 }, 0.183657, 59.0483
4, vgg19, 0.409833, { breakpoint-1: 15}, {29.114334 29.934000 }, 0.183657, 59.0483
5, vgg19, 0.274668, { breakpoint-1: 15}, {29.565001 29.015665 }, 0.174283, 58.5807
6, vgg19, 0.0198336, { breakpoint-1: 16}, {29.286667 29.247000 }, 0.173341, 58.5337
7, vgg19, 0.0198336, { breakpoint-1: 16}, {29.286667 29.247000 }, 0.173341, 58.5337
8, vgg19, 0.0198336, { breakpoint-1: 16}, {29.286667 29.247000 }, 0.173341, 58.5337
9, vgg19, 0.0198336, { breakpoint-1: 16}, {29.286667 29.247000 }, 0.173341, 58.5337
10, vgg19, 0.0198336, { breakpoint-1: 16}, {29.286667 29.247000 }, 0.173341, 58.5337
11, vgg19, 0.0198336, { breakpoint-1: 16}, {29.286667 29.247000 }, 0.173341, 58.5337
