step, model-name, std, solution-best, runtime-bench (ms), overhead, total cost (ms)
0, vgg19, 3.31761, { breakpoint-1: 10; breakpoint-2: 22}, {19.505335 25.035000 17.113001 }, 0.273487, 61.6533
1, vgg19, 3.31761, { breakpoint-1: 10; breakpoint-2: 22}, {19.505335 25.035000 17.113001 }, 0.273487, 61.6533
2, vgg19, 1.54726, { breakpoint-1: 10; breakpoint-2: 19}, {18.384335 18.287334 21.617001 }, 0.203988, 58.2887
3, vgg19, 1.54726, { breakpoint-1: 10; breakpoint-2: 19}, {18.384335 18.287334 21.617001 }, 0.203988, 58.2887
4, vgg19, 1.54726, { breakpoint-1: 10; breakpoint-2: 19}, {18.384335 18.287334 21.617001 }, 0.203988, 58.2887
5, vgg19, 1.62003, { breakpoint-1: 10; breakpoint-2: 19}, {18.271666 18.025665 21.578667 }, 0.195464, 57.876
6, vgg19, 1.0307, { breakpoint-1: 10; breakpoint-2: 21}, {18.305666 20.761000 20.042334 }, 0.220932, 59.109
7, vgg19, 1.02534, { breakpoint-1: 10; breakpoint-2: 19}, {19.672667 18.267000 20.772333 }, 0.212732, 58.712
8, vgg19, 1.02534, { breakpoint-1: 10; breakpoint-2: 19}, {19.672667 18.267000 20.772333 }, 0.212732, 58.712
9, vgg19, 1.54032, { breakpoint-1: 10; breakpoint-2: 19}, {17.654333 17.506334 20.845333 }, 0.156838, 56.006
10, vgg19, 1.40628, { breakpoint-1: 10; breakpoint-2: 19}, {17.630335 18.202999 20.858334 }, 0.171001, 56.6917
11, vgg19, 1.40628, { breakpoint-1: 10; breakpoint-2: 19}, {17.630335 18.202999 20.858334 }, 0.171001, 56.6917
12, vgg19, 1.24029, { breakpoint-1: 10; breakpoint-2: 19}, {18.375000 18.224667 20.927666 }, 0.188262, 57.5273
13, vgg19, 1.24029, { breakpoint-1: 10; breakpoint-2: 19}, {18.375000 18.224667 20.927666 }, 0.188262, 57.5273
14, vgg19, 1.10143, { breakpoint-1: 10; breakpoint-2: 19}, {18.619665 18.007334 20.589001 }, 0.181831, 57.216
15, vgg19, 1.10143, { breakpoint-1: 10; breakpoint-2: 19}, {18.619665 18.007334 20.589001 }, 0.181831, 57.216
16, vgg19, 1.10143, { breakpoint-1: 10; breakpoint-2: 19}, {18.619665 18.007334 20.589001 }, 0.181831, 57.216
17, vgg19, 1.10143, { breakpoint-1: 10; breakpoint-2: 19}, {18.619665 18.007334 20.589001 }, 0.181831, 57.216
18, vgg19, 1.10143, { breakpoint-1: 10; breakpoint-2: 19}, {18.619665 18.007334 20.589001 }, 0.181831, 57.216
19, vgg19, 1.10143, { breakpoint-1: 10; breakpoint-2: 19}, {18.619665 18.007334 20.589001 }, 0.181831, 57.216
