step, model-name, std, solution-best, runtime-bench (ms), overhead, total cost (ms)
0, vgg19, 8.51667, { breakpoint-1: 11; breakpoint-2: 21; breakpoint-3: 36}, {22.941334 22.667665 20.163666 2.415333 }, 0.389314, 68.188
1, vgg19, 8.51667, { breakpoint-1: 11; breakpoint-2: 21; breakpoint-3: 36}, {22.941334 22.667665 20.163666 2.415333 }, 0.389314, 68.188
2, vgg19, 8.25206, { breakpoint-1: 10; breakpoint-2: 17; breakpoint-3: 33}, {20.532000 21.519667 24.691334 3.523667 }, 0.431666, 70.2667
3, vgg19, 5.92033, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 32}, {18.346001 17.962999 18.620335 4.648000 }, 0.213874, 59.5773
4, vgg19, 5.92033, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 32}, {18.346001 17.962999 18.620335 4.648000 }, 0.213874, 59.5773
5, vgg19, 5.92033, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 32}, {18.346001 17.962999 18.620335 4.648000 }, 0.213874, 59.5773
6, vgg19, 5.92033, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 32}, {18.346001 17.962999 18.620335 4.648000 }, 0.213874, 59.5773
7, vgg19, 5.92033, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 32}, {18.346001 17.962999 18.620335 4.648000 }, 0.213874, 59.5773
8, vgg19, 5.22639, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {18.205334 17.600000 17.513000 5.718667 }, 0.202865, 59.037
9, vgg19, 5.22639, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {18.205334 17.600000 17.513000 5.718667 }, 0.202865, 59.037
10, vgg19, 5.18265, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.796665 17.493000 17.324665 5.575666 }, 0.185607, 58.19
11, vgg19, 5.13219, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.645334 17.499334 17.437334 5.676333 }, 0.187, 58.2583
12, vgg19, 5.13219, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.645334 17.499334 17.437334 5.676333 }, 0.187, 58.2583
13, vgg19, 5.06013, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.860334 17.394335 16.794001 5.696333 }, 0.176541, 57.745
14, vgg19, 5.06013, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.860334 17.394335 16.794001 5.696333 }, 0.176541, 57.745
15, vgg19, 5.03978, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.653666 17.431999 16.809000 5.681334 }, 0.173097, 57.576
16, vgg19, 5.03978, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.653666 17.431999 16.809000 5.681334 }, 0.173097, 57.576
17, vgg19, 5.03978, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.653666 17.431999 16.809000 5.681334 }, 0.173097, 57.576
18, vgg19, 5.03978, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.653666 17.431999 16.809000 5.681334 }, 0.173097, 57.576
19, vgg19, 5.03978, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.653666 17.431999 16.809000 5.681334 }, 0.173097, 57.576
20, vgg19, 5.03204, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.664333 17.514334 16.812000 5.733000 }, 0.176106, 57.7237
21, vgg19, 5.03204, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.664333 17.514334 16.812000 5.733000 }, 0.176106, 57.7237
22, vgg19, 5.03204, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.664333 17.514334 16.812000 5.733000 }, 0.176106, 57.7237
23, vgg19, 5.03204, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.664333 17.514334 16.812000 5.733000 }, 0.176106, 57.7237
24, vgg19, 5.03204, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.664333 17.514334 16.812000 5.733000 }, 0.176106, 57.7237
25, vgg19, 5.03204, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 30}, {17.664333 17.514334 16.812000 5.733000 }, 0.176106, 57.7237
