step, model-name, std, solution-best, runtime-bench (ms), overhead, total cost (ms)
1, resnet50, 0.233333, { breakpoint-1: 49}, {14.149667 14.616333 }, 0.240538, 28.766
2, resnet50, 0.136667, { breakpoint-1: 47}, {13.440000 13.713333 }, 0.170991, 27.1533
3, resnet50, 0.136667, { breakpoint-1: 47}, {13.440000 13.713333 }, 0.170991, 27.1533
4, resnet50, 0.136667, { breakpoint-1: 47}, {13.440000 13.713333 }, 0.170991, 27.1533
5, resnet50, 0.136667, { breakpoint-1: 47}, {13.440000 13.713333 }, 0.170991, 27.1533
6, resnet50, 0.196666, { breakpoint-1: 47}, {13.249667 13.643000 }, 0.15975, 26.8927
7, resnet50, 0.196666, { breakpoint-1: 47}, {13.249667 13.643000 }, 0.15975, 26.8927
8, resnet50, 0.196666, { breakpoint-1: 47}, {13.249667 13.643000 }, 0.15975, 26.8927
9, resnet50, 0.196666, { breakpoint-1: 47}, {13.249667 13.643000 }, 0.15975, 26.8927
10, resnet50, 0.259167, { breakpoint-1: 47}, {13.096333 13.614667 }, 0.151915, 26.711
11, resnet50, 0.259167, { breakpoint-1: 47}, {13.096333 13.614667 }, 0.151915, 26.711
12, resnet50, 0.259167, { breakpoint-1: 47}, {13.096333 13.614667 }, 0.151915, 26.711
13, resnet50, 0.143333, { breakpoint-1: 47}, {13.263667 13.550333 }, 0.156357, 26.814
14, resnet50, 0.143333, { breakpoint-1: 47}, {13.263667 13.550333 }, 0.156357, 26.814
15, resnet50, 0.143333, { breakpoint-1: 47}, {13.263667 13.550333 }, 0.156357, 26.814
16, resnet50, 0.168167, { breakpoint-1: 47}, {13.213333 13.549667 }, 0.154158, 26.763
17, resnet50, 0.162, { breakpoint-1: 46}, {13.132333 13.456333 }, 0.14664, 26.5887
18, resnet50, 0.162, { breakpoint-1: 46}, {13.132333 13.456333 }, 0.14664, 26.5887
19, resnet50, 0.162, { breakpoint-1: 46}, {13.132333 13.456333 }, 0.14664, 26.5887
20, resnet50, 0.162, { breakpoint-1: 46}, {13.132333 13.456333 }, 0.14664, 26.5887
21, resnet50, 0.162, { breakpoint-1: 46}, {13.132333 13.456333 }, 0.14664, 26.5887
22, resnet50, 0.104, { breakpoint-1: 47}, {13.096333 13.304333 }, 0.138532, 26.4007
23, resnet50, 0.135666, { breakpoint-1: 47}, {12.987667 13.259000 }, 0.131891, 26.2467
24, resnet50, 0.135666, { breakpoint-1: 47}, {12.987667 13.259000 }, 0.131891, 26.2467
25, resnet50, 0.135666, { breakpoint-1: 47}, {12.987667 13.259000 }, 0.131891, 26.2467
26, resnet50, 0.0135002, { breakpoint-1: 46}, {13.179000 13.206000 }, 0.137857, 26.385
27, resnet50, 0.0135002, { breakpoint-1: 46}, {13.179000 13.206000 }, 0.137857, 26.385
28, resnet50, 0.0135002, { breakpoint-1: 46}, {13.179000 13.206000 }, 0.137857, 26.385
29, resnet50, 0.0135002, { breakpoint-1: 46}, {13.179000 13.206000 }, 0.137857, 26.385
30, resnet50, 0.0135002, { breakpoint-1: 46}, {13.179000 13.206000 }, 0.137857, 26.385
