step, model-name, std, solution-best, runtime-bench (ms), overhead, total cost (ms)
1, resnet50, 4.16, { breakpoint-1: 64; breakpoint-2: 70}, {14.577000 4.514667 8.154000 }, 0.311212, 27.2457
2, resnet50, 1.71769, { breakpoint-1: 39; breakpoint-2: 61}, {12.060333 8.146334 8.766333 }, 0.39434, 28.973
3, resnet50, 1.71769, { breakpoint-1: 39; breakpoint-2: 61}, {12.060333 8.146334 8.766333 }, 0.39434, 28.973
4, resnet50, 1.71769, { breakpoint-1: 39; breakpoint-2: 61}, {12.060333 8.146334 8.766333 }, 0.39434, 28.973
5, resnet50, 1.71769, { breakpoint-1: 39; breakpoint-2: 61}, {12.060333 8.146334 8.766333 }, 0.39434, 28.973
6, resnet50, 1.46805, { breakpoint-1: 39; breakpoint-2: 61}, {11.655667 8.192333 9.086000 }, 0.392464, 28.934
7, resnet50, 1.46805, { breakpoint-1: 39; breakpoint-2: 61}, {11.655667 8.192333 9.086000 }, 0.392464, 28.934
8, resnet50, 1.46805, { breakpoint-1: 39; breakpoint-2: 61}, {11.655667 8.192333 9.086000 }, 0.392464, 28.934
9, resnet50, 1.46805, { breakpoint-1: 39; breakpoint-2: 61}, {11.655667 8.192333 9.086000 }, 0.392464, 28.934
10, resnet50, 1.46805, { breakpoint-1: 39; breakpoint-2: 61}, {11.655667 8.192333 9.086000 }, 0.392464, 28.934
11, resnet50, 1.56237, { breakpoint-1: 39; breakpoint-2: 61}, {11.710333 8.112000 8.782667 }, 0.37663, 28.605
12, resnet50, 1.56237, { breakpoint-1: 39; breakpoint-2: 61}, {11.710333 8.112000 8.782667 }, 0.37663, 28.605
13, resnet50, 1.56237, { breakpoint-1: 39; breakpoint-2: 61}, {11.710333 8.112000 8.782667 }, 0.37663, 28.605
14, resnet50, 1.56237, { breakpoint-1: 39; breakpoint-2: 61}, {11.710333 8.112000 8.782667 }, 0.37663, 28.605
15, resnet50, 1.56237, { breakpoint-1: 39; breakpoint-2: 61}, {11.710333 8.112000 8.782667 }, 0.37663, 28.605
16, resnet50, 1.56237, { breakpoint-1: 39; breakpoint-2: 61}, {11.710333 8.112000 8.782667 }, 0.37663, 28.605
17, resnet50, 1.56237, { breakpoint-1: 39; breakpoint-2: 61}, {11.710333 8.112000 8.782667 }, 0.37663, 28.605
18, resnet50, 1.56237, { breakpoint-1: 39; breakpoint-2: 61}, {11.710333 8.112000 8.782667 }, 0.37663, 28.605
