step, model-name, std, solution-best, runtime-bench (ms), overhead, total cost (ms)
1, vgg19, 0.516832, { breakpoint-1: 15}, {29.023335 30.056999 }, 0.228094, 59.0803
2, vgg19, 0.516832, { breakpoint-1: 15}, {29.023335 30.056999 }, 0.228094, 59.0803
3, vgg19, 0.266001, { breakpoint-1: 15}, {28.817665 29.349667 }, 0.209116, 58.1673
4, vgg19, 0.266001, { breakpoint-1: 15}, {28.817665 29.349667 }, 0.209116, 58.1673
5, vgg19, 0.266001, { breakpoint-1: 15}, {28.817665 29.349667 }, 0.209116, 58.1673
6, vgg19, 0.266001, { breakpoint-1: 15}, {28.817665 29.349667 }, 0.209116, 58.1673
7, vgg19, 0.266001, { breakpoint-1: 15}, {28.817665 29.349667 }, 0.209116, 58.1673
8, vgg19, 0.167667, { breakpoint-1: 15}, {29.204000 28.868666 }, 0.207148, 58.0727
9, vgg19, 0.392333, { breakpoint-1: 16}, {29.355000 28.570333 }, 0.204085, 57.9253
10, vgg19, 0.392333, { breakpoint-1: 16}, {29.355000 28.570333 }, 0.204085, 57.9253
11, vgg19, 0.392333, { breakpoint-1: 16}, {29.355000 28.570333 }, 0.204085, 57.9253
12, vgg19, 0.392333, { breakpoint-1: 16}, {29.355000 28.570333 }, 0.204085, 57.9253
13, vgg19, 0.392333, { breakpoint-1: 16}, {29.355000 28.570333 }, 0.204085, 57.9253
14, vgg19, 0.392333, { breakpoint-1: 16}, {29.355000 28.570333 }, 0.204085, 57.9253
15, vgg19, 0.392333, { breakpoint-1: 16}, {29.355000 28.570333 }, 0.204085, 57.9253
16, vgg19, 0.392333, { breakpoint-1: 16}, {29.355000 28.570333 }, 0.204085, 57.9253
