step, model-name, std, solution-best, runtime-bench (ms), overhead, total cost (ms)
1, vgg19, 12.5256, { breakpoint-1: 11; breakpoint-2: 28; breakpoint-3: 35}, {24.636999 32.264000 5.992000 2.266000 }, 0.366007, 65.159
2, vgg19, 8.23916, { breakpoint-1: 15; breakpoint-2: 30; breakpoint-3: 23}, {27.878334 18.889999 12.859667 5.394000 }, 0.363135, 65.022
3, vgg19, 8.23916, { breakpoint-1: 15; breakpoint-2: 30; breakpoint-3: 23}, {27.878334 18.889999 12.859667 5.394000 }, 0.363135, 65.022
4, vgg19, 8.23916, { breakpoint-1: 15; breakpoint-2: 30; breakpoint-3: 23}, {27.878334 18.889999 12.859667 5.394000 }, 0.363135, 65.022
5, vgg19, 7.82646, { breakpoint-1: 14; breakpoint-2: 28; breakpoint-3: 23}, {26.136000 22.333666 12.150000 6.523334 }, 0.4076, 67.143
6, vgg19, 7.32539, { breakpoint-1: 16; breakpoint-2: 27; breakpoint-3: 20}, {29.523335 15.301333 16.955666 9.418333 }, 0.492624, 71.1987
7, vgg19, 5.18119, { breakpoint-1: 12; breakpoint-2: 27; breakpoint-3: 21}, {22.013666 21.767666 16.770332 9.237333 }, 0.463072, 69.789
8, vgg19, 5.18119, { breakpoint-1: 12; breakpoint-2: 27; breakpoint-3: 21}, {22.013666 21.767666 16.770332 9.237333 }, 0.463072, 69.789
9, vgg19, 4.43309, { breakpoint-1: 12; breakpoint-2: 25; breakpoint-3: 19}, {24.246000 18.868666 13.919000 13.208333 }, 0.472568, 70.242
10, vgg19, 3.70436, { breakpoint-1: 12; breakpoint-2: 25; breakpoint-3: 19}, {22.047001 19.209999 13.807000 13.211000 }, 0.431332, 68.275
11, vgg19, 3.63661, { breakpoint-1: 10; breakpoint-2: 26; breakpoint-3: 19}, {17.798666 17.946335 17.498335 9.357667 }, 0.312381, 62.601
12, vgg19, 2.10765, { breakpoint-1: 10; breakpoint-2: 25; breakpoint-3: 19}, {17.583334 17.564667 13.508000 13.219333 }, 0.297168, 61.8753
13, vgg19, 2.10765, { breakpoint-1: 10; breakpoint-2: 25; breakpoint-3: 19}, {17.583334 17.564667 13.508000 13.219333 }, 0.297168, 61.8753
14, vgg19, 2.02136, { breakpoint-1: 10; breakpoint-2: 25; breakpoint-3: 19}, {17.785999 17.205666 13.477000 13.471000 }, 0.298516, 61.9397
15, vgg19, 2.02136, { breakpoint-1: 10; breakpoint-2: 25; breakpoint-3: 19}, {17.785999 17.205666 13.477000 13.471000 }, 0.298516, 61.9397
16, vgg19, 2.02136, { breakpoint-1: 10; breakpoint-2: 25; breakpoint-3: 19}, {17.785999 17.205666 13.477000 13.471000 }, 0.298516, 61.9397
17, vgg19, 2.02136, { breakpoint-1: 10; breakpoint-2: 25; breakpoint-3: 19}, {17.785999 17.205666 13.477000 13.471000 }, 0.298516, 61.9397
18, vgg19, 2.02136, { breakpoint-1: 10; breakpoint-2: 25; breakpoint-3: 19}, {17.785999 17.205666 13.477000 13.471000 }, 0.298516, 61.9397
19, vgg19, 2.02136, { breakpoint-1: 10; breakpoint-2: 25; breakpoint-3: 19}, {17.785999 17.205666 13.477000 13.471000 }, 0.298516, 61.9397
20, vgg19, 2.02136, { breakpoint-1: 10; breakpoint-2: 25; breakpoint-3: 19}, {17.785999 17.205666 13.477000 13.471000 }, 0.298516, 61.9397
21, vgg19, 2.02987, { breakpoint-1: 10; breakpoint-2: 24; breakpoint-3: 19}, {17.551666 16.899000 12.993000 13.412667 }, 0.275805, 60.8563
22, vgg19, 2.02987, { breakpoint-1: 10; breakpoint-2: 24; breakpoint-3: 19}, {17.551666 16.899000 12.993000 13.412667 }, 0.275805, 60.8563
23, vgg19, 2.02987, { breakpoint-1: 10; breakpoint-2: 24; breakpoint-3: 19}, {17.551666 16.899000 12.993000 13.412667 }, 0.275805, 60.8563
24, vgg19, 2.02987, { breakpoint-1: 10; breakpoint-2: 24; breakpoint-3: 19}, {17.551666 16.899000 12.993000 13.412667 }, 0.275805, 60.8563
25, vgg19, 2.02987, { breakpoint-1: 10; breakpoint-2: 24; breakpoint-3: 19}, {17.551666 16.899000 12.993000 13.412667 }, 0.275805, 60.8563
26, vgg19, 2.02987, { breakpoint-1: 10; breakpoint-2: 24; breakpoint-3: 19}, {17.551666 16.899000 12.993000 13.412667 }, 0.275805, 60.8563
27, vgg19, 2.02987, { breakpoint-1: 10; breakpoint-2: 24; breakpoint-3: 19}, {17.551666 16.899000 12.993000 13.412667 }, 0.275805, 60.8563
28, vgg19, 2.02987, { breakpoint-1: 10; breakpoint-2: 24; breakpoint-3: 19}, {17.551666 16.899000 12.993000 13.412667 }, 0.275805, 60.8563
