step, model-name, cost-avg, cost-best, solution-best, runtime-bench (ms), overhead, total cost (ms)
0, vgg19, 16.072, 7.35013, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 28; breakpoint-4: 41}, {17.864334 19.317665 15.616333 6.330667 0.294000 }, 0.303498, 59.423
1, vgg19, 14.5652, 7.35013, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 28; breakpoint-4: 41}, {17.864334 19.317665 15.616333 6.330667 0.294000 }, 0.303498, 59.423
2, vgg19, 13.9435, 7.23988, { breakpoint-1: 10; breakpoint-2: 18; breakpoint-3: 29; breakpoint-4: 37}, {17.864334 21.390333 21.414665 16.844666 1.872333 }, 0.741412, 79.3863
3, vgg19, 12.9532, 7.23988, { breakpoint-1: 10; breakpoint-2: 18; breakpoint-3: 29; breakpoint-4: 37}, {17.864334 21.390333 21.414665 16.844666 1.872333 }, 0.741412, 79.3863
4, vgg19, 12.4733, 7.23988, { breakpoint-1: 10; breakpoint-2: 18; breakpoint-3: 29; breakpoint-4: 37}, {17.864334 21.390333 21.414665 16.844666 1.872333 }, 0.741412, 79.3863
5, vgg19, 11.2216, 7.23988, { breakpoint-1: 10; breakpoint-2: 18; breakpoint-3: 29; breakpoint-4: 37}, {17.864334 21.390333 21.414665 16.844666 1.872333 }, 0.741412, 79.3863
6, vgg19, 11.7759, 6.01734, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 27; breakpoint-4: 34}, {17.864334 19.317665 17.419334 8.849000 3.952333 }, 0.478539, 67.4027
7, vgg19, 10.8645, 5.44602, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 25; breakpoint-4: 34}, {17.864334 19.317665 14.048000 11.478667 3.952333 }, 0.46227, 66.661
8, vgg19, 10.1947, 5.44602, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 25; breakpoint-4: 34}, {17.864334 19.317665 14.048000 11.478667 3.952333 }, 0.46227, 66.661
9, vgg19, 9.90438, 5.42761, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 25; breakpoint-4: 33}, {17.864334 19.317665 14.048000 13.037667 3.807000 }, 0.49328, 68.0747
10, vgg19, 9.48354, 5.42761, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 25; breakpoint-4: 33}, {17.864334 19.317665 14.048000 13.037667 3.807000 }, 0.49328, 68.0747
11, vgg19, 8.56513, 5.42761, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 25; breakpoint-4: 33}, {17.864334 19.317665 14.048000 13.037667 3.807000 }, 0.49328, 68.0747
12, vgg19, 8.50632, 5.42761, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 25; breakpoint-4: 33}, {17.864334 19.317665 14.048000 13.037667 3.807000 }, 0.49328, 68.0747
13, vgg19, 7.58821, 5.42761, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 25; breakpoint-4: 33}, {17.864334 19.317665 14.048000 13.037667 3.807000 }, 0.49328, 68.0747
14, vgg19, 7.87046, 5.42761, { breakpoint-1: 10; breakpoint-2: 19; breakpoint-3: 25; breakpoint-4: 33}, {17.864334 19.317665 14.048000 13.037667 3.807000 }, 0.49328, 68.0747
