step, model-name, cost-avg, cost-best, solution-best, runtime-bench (ms), overhead, total cost (ms)
0, vgg19, 16.6808, 3.55689, { breakpoint1: 9; breakpoint2: 13}, {25.555000 26.506666 33.530998 }, 0.867517, 85.5927
1, vgg19, 15.6257, 1.28212, { breakpoint1: 10; breakpoint2: 19}, {18.248335 19.049334 21.278666 }, 0.278057, 58.5763
2, vgg19, 13.6332, 1.28212, { breakpoint1: 10; breakpoint2: 19}, {18.248335 19.049334 21.278666 }, 0.278057, 58.5763
3, vgg19, 13.0917, 1.28212, { breakpoint1: 10; breakpoint2: 19}, {18.248335 19.049334 21.278666 }, 0.278057, 58.5763
4, vgg19, 11.9385, 1.10685, { breakpoint1: 10; breakpoint2: 20}, {18.248335 20.260666 20.827999 }, 0.294654, 59.337
5, vgg19, 9.73387, 1.10685, { breakpoint1: 10; breakpoint2: 20}, {18.248335 20.260666 20.827999 }, 0.294654, 59.337
6, vgg19, 7.58537, 1.10685, { breakpoint1: 10; breakpoint2: 20}, {18.248335 20.260666 20.827999 }, 0.294654, 59.337
7, vgg19, 6.72476, 1.10685, { breakpoint1: 10; breakpoint2: 20}, {18.248335 20.260666 20.827999 }, 0.294654, 59.337
8, vgg19, 4.17511, 1.10685, { breakpoint1: 10; breakpoint2: 20}, {18.248335 20.260666 20.827999 }, 0.294654, 59.337
9, vgg19, 5.48397, 1.10685, { breakpoint1: 10; breakpoint2: 20}, {18.248335 20.260666 20.827999 }, 0.294654, 59.337
