step	cost_avg	cost_best	solution_best
0	14.9547	5.83345	{breakpoint1:12, breakpoint2:20}
1	14.4852	4.80608	{breakpoint1:10, breakpoint2:19}
2	13.6016	4.80608	{breakpoint1:10, breakpoint2:19}
3	12.8053	4.80608	{breakpoint1:10, breakpoint2:19}
4	11.5516	4.80608	{breakpoint1:10, breakpoint2:19}
5	10.3367	4.80608	{breakpoint1:10, breakpoint2:19}
6	9.73309	4.80608	{breakpoint1:10, breakpoint2:19}
7	8.83847	4.80608	{breakpoint1:10, breakpoint2:19}
8	7.68987	4.80608	{breakpoint1:10, breakpoint2:19}
9	6.94703	4.80363	{breakpoint1:10, breakpoint2:19}
10	6.34506	4.79982	{breakpoint1:10, breakpoint2:19}
11	6.10972	4.79982	{breakpoint1:10, breakpoint2:19}
12	5.85701	4.77022	{breakpoint1:19, breakpoint2:10}
13	5.32584	4.77022	{breakpoint1:19, breakpoint2:10}
14	5.14819	4.77022	{breakpoint1:19, breakpoint2:10}
15	5.15989	4.77022	{breakpoint1:19, breakpoint2:10}
16	5.12624	4.7668	{breakpoint1:10, breakpoint2:19}
17	5.04135	4.7668	{breakpoint1:10, breakpoint2:19}
18	5.02401	4.7668	{breakpoint1:10, breakpoint2:19}
19	4.95225	4.7668	{breakpoint1:10, breakpoint2:19}
20	4.94847	4.7668	{breakpoint1:10, breakpoint2:19}
21	4.80579	4.7668	{breakpoint1:10, breakpoint2:19}
22	4.80499	4.7668	{breakpoint1:10, breakpoint2:19}
23	4.80348	4.7668	{breakpoint1:10, breakpoint2:19}
24	4.80251	4.7623	{breakpoint1:10, breakpoint2:19}
25	4.8021	4.7623	{breakpoint1:10, breakpoint2:19}
26	4.80198	4.7623	{breakpoint1:10, breakpoint2:19}
27	4.80156	4.7623	{breakpoint1:10, breakpoint2:19}
28	4.80122	4.7623	{breakpoint1:10, breakpoint2:19}
29	4.80028	4.71754	{breakpoint1:10, breakpoint2:19}
30	4.79981	4.71754	{breakpoint1:10, breakpoint2:19}
31	4.79969	4.71754	{breakpoint1:10, breakpoint2:19}
32	4.79944	4.71754	{breakpoint1:10, breakpoint2:19}
33	4.79816	4.69743	{breakpoint1:10, breakpoint2:19}
34	4.79791	4.69743	{breakpoint1:10, breakpoint2:19}
35	4.7969	4.69743	{breakpoint1:10, breakpoint2:19}
36	4.79625	4.69743	{breakpoint1:10, breakpoint2:19}
37	4.79508	4.69743	{breakpoint1:10, breakpoint2:19}
38	4.79365	4.69743	{breakpoint1:10, breakpoint2:19}
39	4.79185	4.69743	{breakpoint1:10, breakpoint2:19}
40	4.78881	4.69743	{breakpoint1:10, breakpoint2:19}
41	4.78619	4.69743	{breakpoint1:10, breakpoint2:19}
42	4.78491	4.69743	{breakpoint1:10, breakpoint2:19}
43	4.7834	4.69743	{breakpoint1:10, breakpoint2:19}
